Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1737248343,100,,Aggregated,226.400000,0.000000,160,210,230,250,320,390,510,720,1100,1200,1400,47468,0,160.0,179.00726692506458,3.4375000977888703,1441.374900052324,58.09709699165754
1737248344,100,,Aggregated,227.600000,0.000000,160,210,230,250,320,380,510,720,1100,1200,1400,47774,0,160.0,178.61181131367553,3.4375000977888703,1441.374900052324,58.10844810985055
1737248345,100,,Aggregated,232.500000,0.000000,160,200,230,250,320,380,500,720,1100,1200,1400,48008,0,160.0,178.57432111314318,3.4375000977888703,1441.374900052324,58.12508331944676
1737248346,100,,Aggregated,237.800000,0.000000,160,210,230,250,320,380,500,720,1100,1200,1400,48234,0,160.0,178.80831036405138,3.4375000977888703,1441.374900052324,58.11031637434175
1737248347,100,,Aggregated,240.500000,0.000000,160,210,230,250,320,380,500,720,1100,1200,1400,48519,0,160.0,178.67052520864397,3.4375000977888703,1441.374900052324,58.103979884169085
1737248348,100,,Aggregated,236.800000,0.000000,160,210,230,250,320,380,500,720,1100,1200,1400,48736,0,160.0,178.72309602753003,3.4375000977888703,1441.374900052324,58.101567629678264
1737248349,100,,Aggregated,245.000000,0.000000,160,210,230,250,320,380,500,710,1100,1200,1400,48988,0,160.0,178.89062004773308,3.4375000977888703,1441.374900052324,58.105311504858335
1737248350,100,,Aggregated,249.700000,0.000000,160,210,230,250,320,380,500,710,1000,1200,1400,49256,0,160.0,178.76333159610172,3.4375000977888703,1441.374900052324,58.097084619132694
1737248351,100,,Aggregated,246.700000,0.000000,160,210,230,250,320,380,500,710,1000,1200,1400,49501,0,160.0,178.73389713132764,3.4375000977888703,1441.374900052324,58.08662451263611
1737248352,100,,Aggregated,252.100000,0.000000,160,200,230,250,310,380,500,710,1000,1200,1400,49761,0,160.0,178.63859107125631,3.4375000977888703,1441.374900052324,58.08438335242459
1737248353,100,,Aggregated,250.800000,0.000000,160,200,230,250,310,380,500,710,1000,1200,1400,50039,0,160.0,178.61656622427128,3.4375000977888703,1441.374900052324,58.09762385339435
1737248354,100,,Aggregated,251.200000,0.000000,160,200,230,250,310,380,500,710,1000,1200,1400,50327,0,160.0,178.191155918197,3.4375000977888703,1441.374900052324,58.10413893138872
1737248355,100,,Aggregated,253.400000,0.000000,160,200,230,250,310,380,500,710,1000,1200,1400,50610,0,160.0,177.9891507724907,3.4375000977888703,1441.374900052324,58.10699466508595
1737248356,100,,Aggregated,252.800000,0.000000,160,200,230,250,310,380,500,710,1000,1200,1400,50867,0,160.0,178.08988820052343,3.4375000977888703,1441.374900052324,58.10045805728665
1737248357,100,,Aggregated,252.800000,0.000000,160,200,230,250,310,380,500,710,1000,1200,1400,51082,0,160.0,178.20623596562677,3.4375000977888703,1441.374900052324,58.112524959868445
1737248358,100,,Aggregated,255.800000,0.000000,160,200,230,250,310,380,500,700,1000,1200,1400,51312,0,160.0,178.50453899860491,3.4375000977888703,1441.374900052324,58.129540848144686
1737248359,100,,Aggregated,255.700000,0.000000,160,210,230,250,310,380,500,700,1000,1200,1400,51510,0,160.0,178.9444417646391,3.4375000977888703,1441.374900052324,58.115259172976124
1737248360,100,,Aggregated,249.100000,0.000000,160,210,230,250,310,380,500,700,1000,1200,1400,51698,0,160.0,179.16791903162152,3.4375000977888703,1441.374900052324,58.09934620294789
1737248361,100,,Aggregated,248.100000,0.000000,160,210,230,250,320,380,500,700,1000,1200,1400,51937,0,160.0,179.49713917431504,3.4375000977888703,1441.374900052324,58.104973333076614
1737248362,100,,Aggregated,244.000000,0.000000,160,210,230,250,320,380,490,700,1000,1200,1400,52146,0,160.0,179.77391971382278,3.4375000977888703,1441.374900052324,58.113642465385645
1737248363,100,,Aggregated,235.700000,0.000000,160,210,230,250,320,380,490,700,1000,1200,1400,52333,0,160.0,180.06012727718357,3.4375000977888703,1441.374900052324,58.11965681310072
1737248365,100,,Aggregated,228.000000,0.000000,160,210,230,250,320,380,490,700,1000,1200,1400,52586,0,160.0,180.26463036733998,3.4375000977888703,1441.374900052324,58.1042102460731
1737248366,100,,Aggregated,217.500000,0.000000,160,210,230,250,320,380,490,700,1000,1200,1400,52806,0,160.0,180.3693257697143,3.4375000977888703,1441.374900052324,58.113793887058286
